price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,nbr_bedrooms,equipped_kitchen,terrace_sqm,garden_sqm,state_building,primary_energy_consumption_sqm,heating_type,other_amenities
165000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6040,50.4350978,4.4044936,1870.0,136.0,2.0,USA_SEMI_EQUIPPED,,0.0,JUST_RENOVATED,244.0,MISSING,1
197000.0,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1060,50.8302317,4.3525848,1980.0,40.0,0.0,INSTALLED,4.0,0.0,GOOD,84.0,GAS,2
275655.0,HOUSE,MIXED_USE_BUILDING,Flanders,Limburg,Hasselt,3800,50.8019192,5.2202655,2020.0,171.0,3.0,INSTALLED,0.0,0.0,GOOD,0.0,GAS,1
349000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2224971,2.9191662,1972.0,,3.0,INSTALLED,6.0,0.0,AS_NEW,211.0,GAS,1
195000.0,HOUSE,HOUSE,Wallonia,Hainaut,Ath,7800,50.6292897,3.7766293,1910.0,71.0,3.0,INSTALLED,0.0,0.0,GOOD,599.0,GAS,2
301000.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3583,51.0381336,5.1719134,2023.0,92.0,2.0,HYPER_EQUIPPED,26.0,0.0,MISSING,26.57,MISSING,1
650000.0,HOUSE,MIXED_USE_BUILDING,Flanders,East Flanders,Dendermonde,9230,51.0146956,3.8746468,2009.0,419.0,3.0,USA_HYPER_EQUIPPED,,0.0,AS_NEW,166.0,GAS,1
425000.0,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9280,51.004412,4.1288898,1979.0,167.0,4.0,HYPER_EQUIPPED,,0.0,MISSING,311.0,GAS,2
239000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2500,51.1484483,4.5767408,1964.0,75.0,1.0,MISSING,0.0,92.0,GOOD,179.0,GAS,1
349000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1830,50.9059136,4.4292521,2010.0,85.0,2.0,INSTALLED,12.0,0.0,MISSING,124.0,GAS,1
369000.0,HOUSE,HOUSE,Wallonia,Luxembourg,Marche-en-Famenne,6987,50.2306676,5.5156325,1934.0,375.0,9.0,MISSING,0.0,2585.0,TO_RENOVATE,353.0,FUELOIL,1
260000.0,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9100,51.166645,4.127155,1951.0,,4.0,INSTALLED,0.0,0.0,TO_RENOVATE,616.0,GAS,2
695000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2170,51.2543379,4.4492866,1976.0,516.0,4.0,INSTALLED,,450.0,GOOD,154.0,GAS,1
